?Concept	?Broader	?labelNL	?labelEN	?definitions	?altLabelsNL	?altLabelsEN	?reference	?comments
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0390		bekabeling						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0392	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0614	bekledinglaag		Laag waaruit de bekledingsconstructie van een waterkering is opgebouwd (voorstel project). (bron: Informatiemodel Water)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0614	https://w3id.org/nen2660/term#DiscreteObject	bouwdeel		Discreet object dat een zelfstandig en aanwijsbaar deel van een bouwwerk vormt, onderscheiden naar samenstelling of constructiewijze, bestaande uit één of meer componenten waaraan technische eigenschappen en een onderhoudshistorie kunnen worden gerelateerd.			NEN 2767-1	Definitie herschreven zodat Discreet Object genoemd wordt, echter is discutabel. Er moet wellicht een Civiel bouwdeel worden geintroduceerd.
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0393	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0613	bekledingsconstructie		constructie die tot doel heeft de dijkkern te beschermen tegen erosie door de waterbeweging, bestaande uit één of meerdere toplagen met daaronder (eventueel) uitvul-, filter- en kleilagen. (bron: Aquo Lex en Objectencatalogus)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0404		belijning	line marking					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0405		beluchtingsinstallatie						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0406		beluchtingstank						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0428		beplating						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0432		bergbezinkbassin	storage settling basin					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0435		berm	verge					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0438	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0613	bermbeveiligingsconstructie	verge protection structure	Constructie ter afscherming van een gevarenzone of ter beperking van de risicos daarin. (bron: CROW 156)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0443		beschermconstructie	protective structure					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0450		beschermkap	protective cover					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0451		beschermlaag	protective coating					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0460	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1528	beschoeiing	shoring	Grondkerende constructie bestaande uit een dunne wand die afkalving door water van de walkant (van een sloot, waterloop (watergang) of waterpartij) moet voorkomen. (bron: CROW 156)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1528	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0613	grondkerende constructie	earth-retaining construction	Verticale of nagenoeg verticale constructie tot kering van grond. (bron: CROW 156)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0494	https://w3id.org/nen2660/term#Mixture	cementbeton		Verhard mengsel van cement, water, toeslagmaterialen en eventueel hulp- en/of vulstoffen. (bron: CROW 156)	beton			
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0497	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1528	betuining	brush matting	Grondkerende constructie bestaande uit palen en vlechtwerk van rijshout, dunne latten, platen of panelen die afkalving van oevers en taluds moet voorkomen. (bron: CROW 156)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0499		bevestiging						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0505		bewegingswerk						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0507		bewegwijzeringsbord	road signing board					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0511		bezinkbassin	settling basin					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0515		biezenvegetatie	border vegetation					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0527		binnentalud	inner slope					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0529	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c6801	binnenverlichting	interior lighting	Installatie die dient om ruimten in een bouwwerk te verlichten (bron: BB art. 6.2). (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c6801	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1797	verlichtingsinstallatie	lights	Installatie die dient om de omgeving te verlichten. (bron: AOA Begrippen- en Definitielijst)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0533	https://w3id.org/nen2660/term#DiscreteObject	biologisch object	biological object	TODO (bron: Wikipedia, de vrije encyclopedie (NL))|discrete object that is capable of life or which is alive. A lifeform may have existed in the past.			Gellish library	engelse definitie uit Gellish library.|engelse definitie uit Gellish library.
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0541		bliksemafleider	lightning conductor					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0542		bloembak	planter box					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0543		blokkenmuur	block wall					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0550		bodem	soil					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0563		bodembescherming	ground protection					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0566		bodemstabilisatie	ground stabilisation					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0568	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3897	boei	buoy	Verankerd drijvend lichaam dat vaarwegen markeert ten behoeve van de scheepvaart (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0569		boeienlijn	buoy line					
